,vendor_id,b_entity_id
0,26303872,0032DY-E
50,143446948,07V1CD-E
52,151786331,000P03-E
228,285649634,07PCF0-E
229,152312291,09397T-E
447,58763594,07XCM4-E
449,308815449,07VSPH-E
624,274898930,0628GR-E
792,197328732,008ZJM-E
1011,144605176,0GMP6T-E
1013,46185288,0C1XGX-E
1193,198683948,003RKS-E
1247,290968480,001RY6-E
1297,304894179,07R7FH-E
1347,144817130,002QV2-E
1516,304116670,0F2CPM-E
1517,149235191,05LJJJ-E
1702,46136112,0HPM2Q-E
1714,135382287,07R79G-E
1764,22944820,093WPX-E
1834,141227844,07PVN8-E
1884,297914066,05TD9F-E
1934,281594039,002DWY-E
1984,147217132,07RNS7-E
2215,143011423,0CVH7S-E
2243,178599466,07XD5K-E
2244,295956629,005LJ7-E
2250,59519902,07ND5M-E
2252,46781267,0BP9KS-E
2386,146878068,008ZJM-E
2606,193841426,005LJ7-E
2612,271410749,07TJXK-E
2748,280936233,0FSKN8-E
2749,156346108,005687-E
3004,196006906,087Z8S-E
3158,197193096,06KQSG-E
3276,50716114,0CBF92-E
3456,298163737,095L4G-E
3582,48100775,0FZF4M-E
3742,280442422,002BQW-E
3810,302767999,07DZP6-E
4023,304130833,05PFF6-E
4284,146086347,0C7NNW-E
4505,149226950,0017Q7-E
4556,294096639,0DC1BK-E
4558,125979826,000P8H-E
4658,197521865,07VL12-E
4873,304881257,077861-E
4876,197200073,07XD66-E
4925,321349017,0F2Y73-E
5175,140540034,05YK17-E
5269,63538016,002QV3-E
5498,282600278,07R8GX-E
5508,320924862,0GT6YV-E
5729,280940562,09LPWK-E
5738,47948364,0CD36Z-E
5985,141227806,0HDC3G-E
5986,302807229,07XFFJ-E
6025,59155456,05PJWK-E
6029,274126756,0071F9-E
6030,284955610,083KQ7-E
6081,290091285,00DMP1-E
6092,169304441,05HH3Z-E
6231,58672326,07XL3T-E
6486,151313232,07VL9D-E
6659,25990835,07VL4R-E
6664,295099151,0CVKNV-E
6782,26410748,080M3Z-E
6783,201522960,0F6TS4-E
6969,312230562,0G8D3C-E
7113,299896928,067GTT-E
7273,143028964,0D9KQ9-E
7481,147717783,0F4Q51-E
7488,295007851,0F7XFK-E
7491,54696854,0GMHS4-E
7514,324893586,0F3JM6-E
7516,90414002,07PBR3-E
7517,325339174,07C14M-E
7751,286234530,08W8CJ-E
7903,299405687,0F4PVK-E
7905,176103207,0BKG4C-E
8115,45002692,05X1VG-E
8281,144772274,083RT8-E
8282,144835122,07QDGW-E
8494,174304926,0DHJLW-E
8734,289116044,002DFQ-E
9006,146118437,080H81-E
9007,144756058,006GV3-E
9238,176805250,0C6R02-E
9239,176805250,0C6R02-E
9289,289076108,0CKSVJ-E
9290,50063680,07VM80-E
9291,144835346,000P3Z-E
9523,47920716,0H1RN3-E
9743,317159936,001DD6-E
9950,197422671,0F8X45-E
10120,54704079,05DZ70-E
10329,45994463,088B19-E
10337,151539901,0CCJRM-E
10357,273657286,07XGNF-E
10428,20307220,06VWLM-E
10470,312979576,099863-E
10690,275180939,0032DK-E
10956,140693248,080P45-E
11192,286283628,0F4Z3N-E
11310,302307181,089M3D-E
